index,latency_ms
0,10.414
1,12.860
2,8.654
3,8.692
4,9.947
5,8.143
6,8.835
7,8.253
8,9.133
9,9.133
10,8.521
11,9.384
12,8.611
13,8.224
14,8.807
15,8.055
16,9.415
17,9.074
18,8.879
19,9.061
20,8.510
21,8.077
22,9.406
23,9.141
24,8.453
25,8.670
26,8.805
27,8.899
28,8.839
29,9.165
30,8.949
31,8.940
32,9.018
33,8.545
34,8.930
35,8.135
36,9.222
37,8.622
38,8.705
39,8.945
40,8.360
41,8.283
42,9.143
43,8.905
44,8.710
45,8.039
46,8.826
47,8.679
48,8.380
49,8.614
50,8.730
51,8.475
52,8.151
53,8.557
54,8.548
55,8.688
56,8.732
57,8.473
58,8.082
59,8.894
60,8.190
61,9.260
62,8.543
63,8.057
64,8.810
65,8.175
66,8.139
67,9.362
68,8.949
69,8.656
70,8.680
71,8.351
72,9.175
73,8.626
74,8.085
75,9.410
76,8.895
77,9.017
78,8.545
79,8.282
80,9.042
81,9.075
82,9.096
83,8.971
84,9.044
85,8.853
86,9.061
87,8.612
88,8.143
89,9.018
90,8.791
91,8.110
92,8.890
93,8.127
94,8.803
95,8.202
96,9.303
97,8.578
98,8.595
99,8.947
100,8.677
101,8.635
102,9.016
103,8.082
104,9.132
105,8.975
106,8.601
107,9.346
108,9.096
109,8.544
110,8.914
111,8.283
112,9.268
113,8.594
114,8.279
115,9.051
116,9.082
117,8.970
118,8.575
119,9.336
120,8.896
121,9.114
122,9.123
123,9.011
124,8.505
125,8.612
126,8.812
127,8.626
128,8.519
129,8.841
130,9.003
131,8.673
132,9.320
133,9.012
134,8.626
135,9.108
136,8.703
137,9.474
138,9.269
139,8.882
140,8.523
141,8.526
142,8.493
143,8.514
144,8.422
145,8.289
146,8.725
147,8.224
148,8.656
149,8.993
150,8.016
151,9.023
152,8.010
153,8.856
154,8.064
155,8.930
156,8.956
157,8.160
158,8.817
159,8.157
160,8.834
161,8.185
162,8.800
163,8.182
164,7.996
165,8.963
166,8.064
167,8.799
168,8.164
169,8.760
170,8.236
171,8.906
172,8.124
173,8.863
174,9.032
175,8.895
176,8.162
177,8.033
178,8.844
179,8.137
180,8.860
181,8.091
182,9.293
183,8.577
184,8.585
185,8.501
186,8.070
187,9.198
188,9.073
189,8.555
190,8.610
191,8.487
192,8.641
193,8.548
194,9.187
195,8.591
196,8.002
197,9.416
198,8.534
199,9.607
200,8.754
201,9.062
202,8.482
203,8.688
204,8.793
205,8.544
206,8.100
207,8.889
208,8.064
209,9.367
210,8.713
211,8.685
212,8.212
213,8.931
214,8.616
215,8.886
216,8.544
217,8.564
218,8.863
219,8.965
220,8.537
221,8.140
222,8.817
223,8.159
224,9.408
225,8.921
226,8.955
227,8.980
228,8.907
229,8.988
230,9.074
231,9.112
232,8.895
233,9.002
234,8.613
235,8.252
236,9.127
237,8.596
238,9.586
239,8.966
240,8.571
241,9.112
242,9.207
243,8.551
244,8.156
245,9.333
246,8.931
247,9.202
248,8.939
249,9.048
250,8.681
251,8.449
252,8.724
253,8.832
254,8.994
255,8.451
256,8.147
257,9.181
258,8.820
259,8.734
260,8.261
261,9.043
262,9.214
263,8.612
264,8.240
265,8.862
266,8.009
267,9.335
268,9.094
269,8.477
270,8.240
271,9.145
272,8.557
273,9.445
274,9.047
275,8.503
276,8.135
277,8.782
278,8.957
279,8.272
280,8.715
281,8.184
282,8.094
283,8.876
284,8.059
285,8.827
286,8.098
287,8.877
288,8.987
289,8.142
290,8.832
291,8.123
292,8.870
293,8.244
294,8.828
295,8.188
296,8.783
297,8.141
298,8.802
299,8.785
