index,latency_ms
0,9.388
1,9.849
2,8.557
3,8.613
4,9.136
5,8.462
6,8.882
7,8.584
8,8.644
9,8.439
10,9.234
11,9.051
12,8.658
13,8.190
14,8.882
15,9.218
16,8.649
17,8.125
18,9.295
19,8.699
20,8.134
21,9.152
22,8.598
23,8.622
24,8.501
25,8.112
26,9.257
27,8.962
28,8.540
29,8.578
30,9.037
31,8.862
32,8.905
33,9.096
34,8.478
35,8.211
36,9.209
37,9.144
38,9.002
39,8.521
40,8.593
41,8.400
42,8.499
43,8.675
44,9.169
45,8.948
46,8.604
47,8.197
48,9.338
49,8.979
50,8.855
51,8.486
52,8.645
53,8.694
54,8.862
55,9.185
56,8.821
57,9.097
58,8.930
59,9.150
60,8.624
61,8.266
62,9.079
63,8.720
64,8.395
65,8.503
66,8.722
67,8.431
68,8.827
69,8.653
70,8.416
71,8.329
72,8.579
73,8.121
74,9.344
75,9.018
76,8.617
77,8.042
78,8.913
79,8.127
80,8.878
81,8.200
82,8.735
83,8.957
84,8.115
85,9.317
86,9.041
87,9.108
88,9.003
89,8.494
90,8.187
91,8.725
92,8.265
93,9.112
94,8.595
95,8.329
96,8.608
97,9.013
98,8.750
99,8.549
100,9.104
101,8.485
102,9.116
103,8.368
104,8.472
105,8.644
106,8.377
107,9.404
108,8.653
109,8.647
110,8.792
111,9.097
112,9.053
113,8.949
114,9.086
115,8.469
116,9.292
117,8.695
118,8.056
119,8.792
120,8.571
121,8.694
122,9.159
123,9.131
124,9.029
125,8.501
126,9.422
127,9.012
128,8.926
129,9.069
130,8.621
131,9.277
132,9.027
133,8.579
134,8.655
135,8.388
136,9.325
137,9.060
138,9.039
139,8.513
140,8.196
141,8.850
142,8.165
143,9.297
144,9.010
145,9.018
146,8.988
147,8.838
148,9.205
149,9.396
150,8.749
151,9.041
152,8.759
153,8.893
154,8.943
155,8.984
156,9.102
157,8.525
158,9.196
159,9.087
160,8.964
161,9.180
162,8.669
163,9.000
164,9.171
165,8.554
166,9.486
167,8.985
168,8.465
169,8.193
170,9.173
171,8.631
172,8.216
173,8.742
174,9.532
175,8.765
176,9.166
177,9.108
178,8.545
179,8.157
180,8.929
181,8.999
182,8.753
183,8.275
184,8.009
185,9.483
186,8.916
187,8.469
188,8.070
189,9.431
190,9.017
191,8.526
192,7.943
193,9.422
194,9.020
195,9.118
196,8.959
197,9.104
198,9.013
199,9.799
200,8.877
201,8.794
202,8.638
203,8.674
204,8.849
205,8.456
206,8.141
207,9.315
208,9.043
209,8.632
210,8.097
211,9.324
212,8.881
213,8.673
214,9.403
215,9.065
216,8.964
217,8.980
218,8.615
219,9.349
220,8.939
221,9.185
222,8.910
223,8.498
224,9.598
225,8.914
226,8.990
227,8.987
228,8.974
229,8.637
230,8.656
231,8.438
232,8.720
233,8.623
234,8.970
235,9.026
236,8.979
237,8.893
238,8.945
239,9.174
240,8.879
241,8.521
242,8.613
243,8.958
244,9.019
245,8.475
246,9.394
247,8.511
248,8.796
249,8.811
250,8.403
251,8.677
252,8.281
253,9.255
254,8.591
255,8.350
256,8.617
257,8.819
258,8.792
259,8.919
260,8.975
261,9.000
262,9.002
263,62.570
264,8.315
265,8.795
266,8.824
267,9.004
268,8.516
269,8.783
270,9.083
271,8.640
272,9.000
273,8.238
274,9.542
275,8.603
276,9.078
277,8.678
278,8.627
279,8.546
280,8.972
281,8.910
282,8.795
283,8.530
284,8.862
285,8.676
286,9.133
287,9.217
288,8.934
289,9.011
290,8.821
291,9.085
292,8.817
293,8.680
294,8.355
295,8.805
296,8.146
297,9.217
298,9.020
299,9.342
300,8.450
301,8.582
302,8.931
303,8.329
304,8.786
305,8.085
306,8.971
307,9.473
308,9.009
309,8.970
310,8.780
311,9.105
312,8.703
313,8.920
314,8.175
315,8.672
316,8.678
317,9.063
318,8.889
319,8.450
320,8.409
321,8.611
322,9.395
323,8.717
324,8.688
325,8.802
326,8.895
327,8.968
328,9.027
329,8.797
330,8.987
331,9.157
332,9.031
333,8.570
334,8.898
335,8.589
336,8.517
337,8.479
338,8.917
339,8.918
340,9.058
341,63.250
342,8.657
343,8.743
344,8.838
345,9.171
346,9.095
347,9.118
348,8.729
349,8.813
350,8.906
351,8.145
352,8.653
353,8.292
354,8.634
355,8.936
356,8.308
357,8.676
358,8.617
359,8.951
360,9.065
361,8.953
362,8.615
363,8.398
364,8.535
365,9.364
366,8.955
367,8.571
368,8.234
369,8.015
370,8.899
371,8.561
372,9.020
373,8.905
374,8.446
375,9.370
376,8.961
377,9.083
378,8.582
379,8.540
380,9.056
381,8.978
382,9.011
383,8.906
384,8.997
385,8.585
386,9.347
387,9.063
388,9.051
389,8.939
390,8.620
391,8.484
392,8.792
393,9.046
394,9.010
395,9.020
396,8.461
397,8.632
398,8.908
399,8.524
400,9.280
401,8.968
402,8.496
403,8.282
404,8.654
405,8.998
406,8.280
407,8.108
408,8.798
409,8.865
410,8.179
411,8.133
412,9.104
413,8.566
414,9.010
415,8.624
416,8.463
417,8.597
418,8.488
419,64.239
420,8.935
421,8.854
422,8.459
423,8.934
424,8.851
425,8.677
426,8.420
427,8.893
428,9.058
429,9.056
430,9.027
431,9.039
432,8.603
433,9.204
434,8.633
435,8.279
436,8.974
437,9.090
438,8.760
439,9.099
440,8.757
441,8.671
442,8.471
443,9.258
444,9.004
445,8.698
446,8.157
447,9.100
448,9.066
449,8.586
450,9.168
451,8.602
452,8.177
453,8.765
454,8.238
455,9.123
456,9.004
457,9.072
458,8.606
459,8.068
460,8.950
461,9.321
462,8.654
463,9.447
464,8.935
465,8.558
466,8.487
467,8.481
468,8.961
469,8.141
470,8.834
471,8.189
472,9.338
473,9.119
474,8.966
475,8.439
476,8.217
477,9.184
478,9.323
479,8.470
480,9.140
481,9.075
482,9.135
483,8.926
484,8.505
485,8.682
486,8.825
487,8.757
488,9.186
489,8.672
490,9.188
491,8.802
492,9.399
493,8.521
494,8.103
495,9.241
496,8.992
497,63.809
498,9.140
499,9.122
500,8.766
501,8.782
502,9.189
503,8.537
504,8.646
505,8.780
506,8.536
507,8.631
508,8.426
509,8.084
510,8.941
511,9.386
512,9.086
513,8.451
514,8.574
515,8.905
516,8.956
517,8.993
518,8.973
519,9.016
520,8.525
521,9.391
522,9.022
523,8.586
524,8.099
525,9.268
526,8.772
527,9.221
528,9.139
529,8.475
530,8.054
531,9.456
532,9.151
533,8.901
534,8.896
535,8.600
536,8.861
537,8.206
538,8.783
539,8.152
540,9.034
541,9.294
542,8.626
543,8.297
544,9.110
545,9.069
546,9.119
547,8.817
548,8.588
549,8.060
550,9.240
551,8.553
552,8.249
553,9.153
554,8.512
555,8.214
556,9.336
557,8.589
558,8.194
559,8.625
560,8.112
561,8.030
562,8.929
563,8.150
564,9.197
565,8.850
566,9.160
567,8.810
568,8.645
569,8.618
570,8.567
571,8.079
572,8.874
573,8.210
574,9.214
575,63.850
576,10.348
577,8.785
578,9.067
579,9.031
580,8.944
581,8.553
582,8.482
583,8.408
584,9.424
585,8.676
586,8.651
587,8.391
588,8.519
589,8.666
590,8.968
591,8.743
592,8.690
593,8.744
594,9.011
595,8.957
596,8.704
597,8.104
598,8.803
599,8.934
600,9.173
601,9.236
602,8.870
603,8.558
604,9.312
605,9.150
606,8.654
607,8.366
608,8.787
609,9.171
610,9.292
611,8.443
612,9.120
613,9.140
614,8.628
615,8.120
616,9.320
617,8.561
618,8.089
619,9.367
620,8.988
621,8.457
622,8.598
623,8.531
624,9.378
625,8.494
626,8.188
627,9.118
628,9.183
629,8.970
630,8.468
631,8.645
632,8.917
633,8.577
634,8.856
635,8.372
636,9.101
637,8.515
638,8.174
639,9.327
640,8.900
641,9.164
642,9.046
643,8.485
644,8.066
645,9.289
646,8.568
647,8.593
648,8.936
649,8.509
650,8.534
651,8.308
652,8.246
653,64.615
654,8.717
655,9.005
656,8.997
657,8.920
658,8.856
659,8.746
660,8.979
661,9.093
662,8.960
663,9.117
664,8.935
665,9.167
666,8.969
667,9.065
668,8.850
669,8.978
670,9.093
671,8.930
672,8.717
673,8.911
674,8.659
675,8.797
676,8.761
677,8.871
678,8.515
679,8.702
680,8.659
681,8.693
682,8.535
683,9.109
684,9.046
685,8.738
686,9.332
687,8.794
688,8.984
689,8.667
690,8.619
691,8.919
692,9.152
693,8.532
694,8.592
695,8.824
696,8.462
697,8.955
698,8.687
699,8.713
700,8.923
701,8.932
702,8.738
703,8.159
704,8.657
705,8.309
706,9.104
707,9.036
708,8.578
709,9.388
710,9.121
711,8.932
712,8.798
713,9.152
714,9.055
715,8.559
716,8.192
717,9.196
718,8.968
719,9.113
720,8.940
721,9.098
722,8.958
723,8.920
724,8.610
725,8.218
726,9.333
727,8.589
728,9.211
729,9.060
730,9.056
731,65.697
732,9.872
733,8.784
734,8.556
735,8.635
736,8.971
737,8.497
738,8.480
739,8.000
740,8.955
741,8.087
742,9.390
743,8.989
744,9.002
745,8.945
746,9.088
747,8.565
748,8.170
749,8.663
750,8.917
751,8.069
752,9.346
753,8.656
754,8.501
755,8.980
756,8.490
757,8.055
758,8.853
759,8.650
760,9.047
761,8.487
762,9.324
763,8.728
764,7.920
765,9.434
766,8.448
767,8.698
768,8.702
769,8.573
770,8.907
771,8.652
772,8.433
773,8.160
774,9.160
775,9.328
776,8.332
777,8.041
778,8.952
779,8.515
780,8.470
781,8.185
782,9.226
783,8.959
784,8.533
785,8.964
786,8.289
787,9.098
788,8.643
789,8.607
790,9.065
791,8.773
792,8.538
793,8.659
794,8.505
795,9.222
796,9.173
797,8.647
798,8.696
799,9.309
800,8.729
801,8.159
802,8.619
803,8.734
804,8.449
805,8.389
806,8.894
807,8.999
808,8.564
809,63.509
810,8.764
